what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378163303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378163518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378163710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378163881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378164063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378164248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378164551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378164999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378168331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378172467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378173269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378177806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378179373
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1335378186653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335378189223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378197856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378204887
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335378206002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378207585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378212124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378214000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335378214203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378217397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378221045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378223049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378224278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378225673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378227034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378229517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378231146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378234575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378235676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378238720
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1335378240283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378242005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378244681
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335378245129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378246845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378247283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335378248847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335378253667
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335378258249
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335378259521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335378259713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1335378262239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1335378264482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335378265157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1335378266126
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1335378266309
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1335378266478
